#"Step","Potential Energy (kJ/mole)"
16900,56.35660934448242
17000,78.59722900390625
17100,61.20293426513672
17200,65.43315124511719
17300,88.30436706542969
17400,75.38296508789062
17500,55.982460021972656
17600,86.43035888671875
17700,41.423980712890625
17800,65.71155548095703
17900,80.64273071289062
18000,69.92101287841797
18100,111.9515609741211
18200,59.37160110473633
18300,60.841896057128906
18400,71.039794921875
18500,60.706661224365234
18600,78.51007080078125
18700,72.76859283447266
18800,67.11373901367188
18900,47.814613342285156
19000,75.59967803955078
19100,68.03923034667969
19200,64.45491790771484
19300,58.59458541870117
19400,42.454856872558594
19500,62.647216796875
19600,66.64131164550781
19700,65.70368957519531
19800,60.555335998535156
19900,46.186248779296875
20000,49.87432861328125
20100,58.84675216674805
20200,51.362728118896484
20300,70.23191833496094
20400,83.07041931152344
20500,68.88381958007812
20600,56.859291076660156
20700,58.241519927978516
20800,59.23558807373047
20900,80.09645080566406
21000,68.80693817138672
21100,67.27976989746094
21200,53.120548248291016
21300,76.29214477539062
21400,55.61507034301758
21500,60.95223617553711
21600,106.51712036132812
21700,63.74348449707031
21800,54.30613708496094
21900,60.954593658447266
22000,77.83677673339844
22100,62.103363037109375
22200,64.6281967163086
22300,81.3699722290039
22400,74.3884506225586
22500,75.974609375
22600,56.43739700317383
22700,75.48656463623047
22800,57.16392517089844
22900,72.28272247314453
23000,71.34648132324219
23100,71.09031677246094
23200,73.39366149902344
23300,84.63429260253906
23400,62.070987701416016
23500,80.81927490234375
23600,49.24696350097656
23700,59.39943313598633
23800,67.30961608886719
23900,66.08631896972656
24000,71.46649169921875
24100,58.60242462158203
24200,54.973663330078125
24300,59.07262420654297
24400,70.35723876953125
24500,75.12415313720703
24600,53.895606994628906
24700,52.128395080566406
24800,60.89210510253906
24900,52.9304313659668
25000,64.91584014892578
25100,77.75780487060547
25200,66.97449493408203
25300,57.579551696777344
25400,82.30575561523438
25500,54.59964370727539
25600,65.88693237304688
25700,49.041473388671875
25800,67.06886291503906
25900,103.56802368164062
26000,84.65504455566406
26100,78.45460510253906
26200,80.79721069335938
26300,70.60131072998047
26400,81.48997497558594
26500,44.132102966308594
26600,83.68818664550781
26700,56.35413360595703
26800,67.57736206054688
26900,65.29419708251953
27000,96.45966339111328
27100,81.34366607666016
27200,54.138389587402344
27300,82.40896606445312
27400,63.902320861816406
27500,54.693511962890625
27600,65.94839477539062
27700,75.04692840576172
27800,62.200523376464844
27900,79.781494140625
28000,75.60721588134766
28100,74.96734619140625
28200,77.4229736328125
28300,81.79273986816406
28400,66.11475372314453
28500,55.30744552612305
28600,64.47561645507812
28700,62.19309616088867
28800,67.70445251464844
28900,78.49034118652344
29000,77.63034057617188
